WaveId, Damage, Hp, CoinRewardMin-CoinRewardMax, PercentChance
wave-05,8,50,10&23,100
wave-06,10,100,15&26,50
wave-07,12,200,20&30,50
wave-08,14,300,25&35,50
wave-09,16,500,30&40,50
wave-10,18,700,35&50,50
wave-11,20,1000,45&60,50
wave-12,22,1200,50&70,50
wave-13,24,1400,60&80,50
wave-14,26,1600,70&90,50
wave-15,28,1800,80&100,50
wave-16,30,2000,90&100,50
wave-17,32,2200,110&150,50
wave-18,34,2400,120&200,50
wave-19,36,2600,130&210,50
wave-20,38,2800,140&220,50
wave-21,40,3000,150&240,50
wave-22,42,3200,170&250,50
wave-23,44,3400,180&280,50
wave-24,46,3600,200&300,50
wave-25,48,3800,250&350,50
wave-26,50,4000,275&375,50
wave-27,52,4200,300&400,50
wave-28,54,4400,350&500,50
wave-29,56,4600,370&550,50
wave-30,58,4800,400&600,50
wave-31,60,5000,500&700,50
wave-32,62,5200,600&800,50
wave-33,64,5400,700&900,50
wave-34,66,5600,800&1000,50
wave-35,68,5800,900&1100,50
wave-36,70,6000,1000&1300,50
wave-37,72,6200,1200&1500,50
wave-38,74,6400,1300&1600,50
wave-39,76,6600,1400&1700,50
wave-40,78,6800,1500&2000,50
